DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,
2025-10-22,,Production,Tshirts,Segoe lane,5000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-27,,Production,Fabrics,Town,220,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-27,,Production,Fabrics,Town,1620,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-27,,Transport,Food,Santassi,100,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-27,,Transport,Fuel,Goil,200,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-27,,Marketing & Advertisement,Stickers,Vytal prints,470,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-28,,Production,fabrics,Adum,2000,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-10-28,,Production,fabrics,Adum,200,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-30,,Production,fabrics,Town,1500,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-10-31,,Production,t-shirts,Segoe lane,320,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-10-31,,Production,dtf,Asafo,80,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-10-31,,Production,fabrics,Town,150,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-10-31,,Production,Fabrics,Adum,158,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-11,,Production,Fabrics,Adum,1475,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-11,,Production,Fabrics,Adum,303,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-14,,Production,Sewing,Jabil,150,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-15,,Production,dtf,Asafo,20,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-19,,Photography,Food,Pizzaman,700,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-19,,Photography,Images,Osei Amoah,2000,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-21,,Marketing & Advertisement,UCC,expenses,1500,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-21,,Marketing & Advertisement,UCC,expenses,920,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-11-24,,Marketing & Advertisement,UCC,expenses,130,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-22,,Production,Foam,Town,200,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-23,,Production,Still,Town,150,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-24,,Production,caps,Town,280,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-25,,Production,Curves and fabrics,Town,353,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-25,,Marketing & Advertisement,ads,Instagram,570,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-11-28,,Marketing & Advertisement,Ai,Higgsfield,100,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-11-28,,Marketing & Advertisement,Ai,Higgsfield,300,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-11-28,,Production,Sewing,Bismark,1000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-11-30,,Production,Sewing,Bismark,1800,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-12-01,,Production,caps,Morrison,200,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-12-13,,Marketing & Advertisement,Ai,Higgsfield,52,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-12-14,,Production,"Thread, Zippers",Town,37,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-12-25,,Production,labels,Lasare,882,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-12-26,,Marketing & Advertisement,Ai,Higgsfield,52,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-12-28,,Marketing & Advertisement,Ai,Higgsfield,409,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-12-28,,Marketing & Advertisement,Ai,Higgsfield,100,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
,,,,,73774.5,,,,,,,,,,,,,,,,,,
