DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CHLSZLVZR2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK BULGYJ52S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK 6ETBVLZZR2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵29,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Marketing,FACEBK K58R4LD2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Marketing,FACEBK BHHEDJR2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,AI Tools (Pakeru),Claude sub,Anthropic,₵236,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵256,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,AI Tools (Pakeru),Higgsfield AI,Higgsfield,₵118,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵199,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵199,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK ZW299K52S2,Facebook,₵271,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK NQ7VYJH2S2,Facebook,₵555,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK VMXECLD2S2,Facebook,₵512,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK HQLQBLD2S2,Facebook,₵399,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK A5774K52S2,Facebook,₵199,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK D2DSLKV2S2,Facebook,₵199,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,HIGGSFIELD INC YK34BRNQ,Higgsfield,₵118,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵214,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK ZSDDCK52S2,Facebook,₵285,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK 7RQPUJ92S2,Facebook,₵285,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK QGMJDLD2S2,Facebook,₵527,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK NH997K52S2,Facebook,₵214,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK PV49AJM2S2,Facebook,₵256,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,HIGGSFIELD INC YK34BRNQ,Higgsfield,₵578,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Production (Pakeru),Fuel,Goil,₵300,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-30,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵285,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,Marketing,FACEBK UDFSYJ92S2,Facebook,₵285,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,Marketing,FACEBK FMQHFMVZR2,Facebook,₵285,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Render hosting,Render,₵83,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Anthropic API,Anthropic,₵59,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Anthropic API,Anthropic,₵59,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Anthropic API,Anthropic,₵59,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-01,,Marketing,FACEBK UDFSYJ92S2,Facebook,₵285,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-02,,Transport,Rider/dispatch fee,Rider,₵55,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-05,,AI Tools (Pakeru),Claude sub,Anthropic,₵237,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-06,,Utilities,Electricity,Electric guy,₵400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-07,,Production,Fuel,Goil,₵200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-08,,AI Tools (Pakeru),Render hosting,Render,₵83,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-08,,Production (Pakeru),Bank deposit to Pakeru Ltd account,Pakeru Ltd,₵300,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-09,,Production,Electricity,MK,₵800,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-09,,Utilities,Water,Water bill,₵60,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-10,,Production,Delivery,Seth,₵50,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-10,,Marketing,Ai,Higgsfield,₵375,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-10,,AI Tools (Pakeru),Anthropic API,Anthropic,₵71,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-12,,Production,Fuel,Goil,₵500,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-12,,AI Tools (Pakeru),Higgsfield AI,Higgsfield,₵403,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-12,,AI Tools (Pakeru),Anthropic API,Anthropic,₵71,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Fuel,Goil,₵200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Plastic band,UT,₵81,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Thread,Segoe lane,₵54,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Metal locks ,Segoe lane,₵10,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Food,Szning,₵163,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Personal Subs,Google One storage,Google,₵6,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-17,,Production,Knitting thread,Dubai,₵118,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-18,,AI Tools (Pakeru),Anthropic API,Anthropic,₵143,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-18,,AI Tools (Pakeru),Anthropic API,Anthropic,₵71,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-18,,AI Tools (Pakeru),Anthropic API,Anthropic,₵71,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-20,,Personal Subs,Spotify,Spotify,₵24,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-21,,Other,Fuel,Goil,₵400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-22,,Production,Linen Fabrics ,Awunsi ,"₵7,485",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-22,,Production,Sewing ,MK,"₵2,515",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-22,,AI Tools (Pakeru),Anthropic API,Anthropic,₵143,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-23,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵342,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-24,,Insurance,Insurance payment,Insurance,₵565,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-26,,AI Tools (Pakeru),Hostinger hosting,Hostinger,₵121,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-29,,Marketing,Ai,Higgssfield ,₵522,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-29,,Other,Payment to Mr Kay - unclear purpose,Mr Kay,"₵1,000",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-29,,AI Tools (Pakeru),Claude sub,Anthropic,₵287,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-30,,Utilities,Fuel,Goil,₵400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-30,,AI Tools (Pakeru),Higgsfield AI (image/video gen),Higgsfield,₵585,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-03,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,₵361,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-05,,Production (Pakeru),Linen / fabric purchase,Linen,"₵1,820",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-07,,Utilities,Water,Water bill,₵60,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-07,,AI Tools (Pakeru),Render hosting,Render,₵84,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-05-08,,AI Tools (Pakeru),Anthropic API top-up,Anthropic,₵72,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
